model_name,dataset_name,avg_accuracy,std_accuracy,avg_f1_macro,std_f1_macro,avg_roc_auc,std_roc_auc
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 3,0.64979971001551,0.025543281766211966,0.3937220802614911,0.009285441201404943,0.760941068477098,0.01737779073161443
roberta-base,Изъяты лексемы с частотой выше 3,0.647020708717467,0.021749638100093546,0.39273642595987274,0.00807812886397387,0.7219646934634554,0.03503266458961514
gpt2,Изъяты лексемы с частотой выше 3,0.6225849359388805,0.01713587905532393,0.4273286308153132,0.06932701140618734,0.6500405764118998,0.04863378957583673
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 29,0.9936356127006668,0.005228215307673514,0.9932209747947166,0.0056213010665703625,0.999950843622076,4.94324941533094e-05
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 29,0.988945708888619,0.004298381800830148,0.9883058787563387,0.004354623750181675,0.998779080334872,0.0010646838955209474
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 29,0.9862554285720497,0.006415917598170816,0.9850421957434786,0.006912959673007077,0.9986284183189497,0.0016429963002738313
facebook/opt-125m,Изъяты лексемы с частотой выше 29,0.9101323982253526,0.04737527168039045,0.9081232567554774,0.046375127538458225,0.9799287713231205,0.008531013083143971
gpt2,Изъяты лексемы с частотой выше 29,0.7774306849672241,0.07057375703702365,0.7415555307379043,0.10437509461923815,0.8965021364865752,0.030214817033402085
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 29,0.6547807525346746,0.09408367977716199,0.4559771757942694,0.16859069317550138,0.8257694148760706,0.06523919458221143
roberta-base,Изъяты лексемы с частотой выше 29,0.6231993973579498,0.021600657841683784,0.39715163921131613,0.030215237816944542,0.8524731137705149,0.025192639369858688
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 100,0.9957692749605792,0.003501400783512422,0.9955656988529206,0.0036042272972646636,0.9997436914490708,0.00044855882567846337
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 100,0.9870172051833093,0.007777888381824425,0.9864308657586256,0.008092140234898394,0.9983472809483808,0.0028159500831046983
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 100,0.98463794844419,0.00790177950181654,0.984061030869471,0.008185172356043097,0.9995444044726188,0.00025537939163086415
facebook/opt-125m,Изъяты лексемы с частотой выше 100,0.9481477106687662,0.009077703753804522,0.9452250490551659,0.009360333408303488,0.9843317423889403,0.006489108267889401
gpt2,Изъяты лексемы с частотой выше 100,0.7707937460410855,0.05416043526724021,0.7336180616883786,0.08240534013020649,0.8884866711734448,0.02916082790850759
roberta-base,Изъяты лексемы с частотой выше 100,0.6187017190470756,0.04717115836024359,0.4311918400972749,0.12642507862769323,0.8792185638186547,0.020016119817199876
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 100,0.6004467113585787,0.04121782022675264,0.3747498202721649,0.016492687096368603,0.8468681785584392,0.022897180413742422
